epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3551,1.10493,1.09887,1.50649,0.99356,0.97095,0.9913,0.6732,1.15443,0.50688,1.19222,0.000659933,0.000659933,0.000659933
2,94.6009,1.21431,1.15158,1.58091,0.97518,0.97816,0.99195,0.69195,1.09316,0.57554,1.18311,0.001323,0.001323,0.001323
3,140.42,1.28053,1.23546,1.6329,0.90942,0.95813,0.97173,0.67556,1.04863,0.71922,1.16635,0.0019717,0.0019717,0.0019717
4,185.723,1.27652,1.25931,1.62339,0.95358,0.9668,0.98541,0.67647,1.12567,0.63618,1.21262,0.00195155,0.00195155,0.00195155
5,230.996,1.27151,1.231,1.63086,0.94739,0.97134,0.98973,0.69162,1.11208,0.56705,1.18263,0.00191441,0.00191441,0.00191441
6,276.266,1.22724,1.17428,1.60079,0.9492,0.93043,0.98676,0.67229,1.1652,0.61974,1.21502,0.00186737,0.00186737,0.00186737
7,321.554,1.24849,1.2198,1.59992,0.98348,0.98784,0.99357,0.6481,1.21433,0.54607,1.23126,0.00181093,0.00181093,0.00181093
8,366.787,1.20621,1.17089,1.57902,0.97563,0.98755,0.99127,0.71513,0.99736,0.49731,1.14242,0.00174571,0.00174571,0.00174571
9,412.327,1.2074,1.13156,1.55692,0.97471,0.9751,0.99045,0.69245,1.1169,0.53492,1.19879,0.00167244,0.00167244,0.00167244
10,457.579,1.19886,1.11863,1.56007,0.98319,1,0.99303,0.72085,1.02624,0.48202,1.16291,0.00159191,0.00159191,0.00159191
11,503.142,1.14527,1.08588,1.51664,0.9754,0.9872,0.99047,0.73541,0.95553,0.50559,1.10056,0.001505,0.001505,0.001505
12,548.612,1.17156,1.09865,1.55337,0.97946,0.98948,0.99078,0.73453,0.94754,0.48385,1.11582,0.00141267,0.00141267,0.00141267
13,593.915,1.09309,1.0399,1.49614,0.93541,0.96149,0.98743,0.73338,0.96799,0.52938,1.11254,0.00131593,0.00131593,0.00131593
14,639.164,1.11449,1.04466,1.50544,0.98293,0.9917,0.99437,0.76861,0.95505,0.44611,1.09382,0.00121583,0.00121583,0.00121583
15,684.694,1.09839,1.03324,1.48949,0.97944,0.9668,0.99302,0.73868,0.94702,0.45466,1.09828,0.00111348,0.00111348,0.00111348
16,730.002,1.07609,0.99358,1.47134,0.97897,1,0.9945,0.74332,0.95512,0.40889,1.11802,0.00101,0.00101,0.00101
17,775.354,1.07163,1.00215,1.47962,0.98367,0.9995,0.99471,0.74291,0.96783,0.41536,1.11616,0.000906517,0.000906517,0.000906517
18,820.683,1.06025,0.99308,1.46271,0.98326,1,0.99408,0.75943,0.89113,0.39048,1.06888,0.000804167,0.000804167,0.000804167
19,866.019,1.05142,0.98611,1.43916,0.98263,0.9917,0.99317,0.71427,1.01623,0.44938,1.11233,0.000704073,0.000704073,0.000704073
20,911.348,1.02912,0.95919,1.42501,0.98287,0.99585,0.99259,0.74116,0.90374,0.4034,1.07738,0.000607331,0.000607331,0.000607331
21,959.853,1.28014,1.01255,1.53097,0.98993,0.99585,0.99416,0.77331,0.86191,0.39392,1.06896,0.000515,0.000515,0.000515
22,1005.41,1.24412,0.95003,1.49165,0.99173,0.99568,0.99411,0.75809,0.94218,0.40206,1.08968,0.000428093,0.000428093,0.000428093
23,1050.7,1.25385,0.92544,1.48992,0.99029,0.9917,0.99462,0.76654,0.89532,0.38812,1.06954,0.000347561,0.000347561,0.000347561
24,1096.06,1.20211,0.90802,1.4513,0.98763,0.99365,0.99454,0.76631,0.92242,0.3866,1.07799,0.000274287,0.000274287,0.000274287
25,1141.44,1.1699,0.91599,1.43238,0.98764,0.99486,0.99458,0.75923,0.93436,0.3877,1.08058,0.000209073,0.000209073,0.000209073
26,1186.74,1.17373,0.87195,1.42349,0.98951,0.9917,0.99458,0.77714,0.89521,0.38044,1.0621,0.000152635,0.000152635,0.000152635
27,1232.31,1.15994,0.86978,1.43642,0.98366,0.99935,0.99475,0.77858,0.88686,0.36484,1.05868,0.00010559,0.00010559,0.00010559
28,1277.9,1.15714,0.84939,1.41506,0.98367,0.99949,0.99458,0.77328,0.89227,0.36716,1.05957,6.8454e-05,6.8454e-05,6.8454e-05
29,1323.23,1.12672,0.8488,1.3875,0.98366,0.99929,0.99458,0.77723,0.90322,0.36859,1.06179,4.16339e-05,4.16339e-05,4.16339e-05
30,1368.52,1.11892,0.83561,1.39525,0.98987,0.9917,0.99462,0.77005,0.89957,0.37081,1.06238,2.54233e-05,2.54233e-05,2.54233e-05
