epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3123,1.89361,2.15758,1.90341,0.58797,0.80498,0.7046,0.29052,1.69625,9.81221,1.8792,0.000660317,0.000660317,0.000660317
2,96.6223,1.81709,1.86878,1.93429,0.66667,0.80913,0.75877,0.35267,1.70857,6.38745,1.87265,0.00132648,0.00132648,0.00132648
3,142.445,1.75291,1.83404,1.93096,0.70131,0.80083,0.71334,0.38326,1.60384,4.77535,1.70511,0.00199061,0.00199061,0.00199061
4,188.04,1.6885,1.73052,1.86615,0.88904,0.78423,0.79213,0.40765,1.83336,2.57944,1.6914,0.00199314,0.00199314,0.00199314
5,233.74,1.64938,1.68724,1.84271,0.78594,0.81743,0.70824,0.32332,1.63178,4.33844,1.65485,0.00198781,0.00198781,0.00198781
6,279.221,1.65076,1.66456,1.81881,0.97372,0.80083,0.83574,0.41848,1.77333,1.92075,1.64461,0.00198098,0.00198098,0.00198098
7,324.817,1.62391,1.65421,1.781,0.94786,0.75934,0.83637,0.38978,1.73885,2.05155,1.66019,0.00197265,0.00197265,0.00197265
8,370.25,1.59748,1.57714,1.76367,0.97971,0.81328,0.8926,0.52291,1.47491,1.11734,1.43775,0.00196283,0.00196283,0.00196283
9,415.797,1.58052,1.55543,1.73635,0.97108,0.82573,0.87111,0.43029,1.65669,1.85841,1.56767,0.00195155,0.00195155,0.00195155
10,461.168,1.53825,1.53193,1.73978,0.9399,0.77877,0.85758,0.53138,1.48095,1.55614,1.44431,0.00193881,0.00193881,0.00193881
11,506.752,1.53979,1.53563,1.73,0.96147,0.82158,0.86812,0.53349,1.48323,1.34182,1.49283,0.00192464,0.00192464,0.00192464
12,552.362,1.51875,1.46544,1.69008,0.96579,0.82011,0.90283,0.52192,1.50894,2.88638,1.48899,0.00190906,0.00190906,0.00190906
13,597.743,1.51783,1.45372,1.69589,0.98011,0.81773,0.87989,0.51644,1.52526,1.14357,1.47238,0.0018921,0.0018921,0.0018921
14,643.144,1.48387,1.43827,1.66853,0.94209,0.87754,0.95709,0.55743,1.51795,0.87088,1.43891,0.00187377,0.00187377,0.00187377
15,688.643,1.47431,1.39981,1.65306,0.97928,0.78838,0.82453,0.49477,1.66758,1.29504,1.65459,0.00185411,0.00185411,0.00185411
16,733.938,1.50777,1.41874,1.67265,0.98195,0.80913,0.85875,0.5456,1.47575,1.02399,1.50327,0.00183315,0.00183315,0.00183315
17,779.312,1.46519,1.38894,1.64585,0.96467,0.79299,0.88569,0.50668,1.58534,1.03923,1.5193,0.00181093,0.00181093,0.00181093
18,824.659,1.46931,1.38545,1.63924,0.95962,0.84647,0.93099,0.59501,1.32224,0.96227,1.32087,0.00178746,0.00178746,0.00178746
19,870.143,1.47846,1.3698,1.6394,0.91581,0.88797,0.95667,0.60359,1.3299,0.86833,1.32291,0.0017628,0.0017628,0.0017628
20,915.808,1.46475,1.34497,1.65124,0.95905,0.87467,0.95398,0.57469,1.4377,0.95227,1.36409,0.00173698,0.00173698,0.00173698
21,961.142,1.45531,1.32239,1.63742,0.94821,0.93361,0.95805,0.58385,1.45605,0.86821,1.39031,0.00171004,0.00171004,0.00171004
22,1006.47,1.41793,1.32703,1.60714,0.97065,0.84232,0.94436,0.59977,1.32794,0.8279,1.3289,0.00168201,0.00168201,0.00168201
23,1051.77,1.45713,1.33031,1.62171,0.97524,0.83402,0.93475,0.58132,1.35867,0.91494,1.3279,0.00165295,0.00165295,0.00165295
24,1097.12,1.41417,1.29876,1.60144,0.97553,0.92946,0.97034,0.56458,1.52203,1.14928,1.41039,0.0016229,0.0016229,0.0016229
25,1142.45,1.42227,1.29257,1.60532,0.98186,0.82573,0.918,0.52672,1.53066,0.9258,1.41164,0.00159191,0.00159191,0.00159191
26,1187.83,1.39948,1.27707,1.59861,0.96226,0.84643,0.94967,0.61164,1.26555,0.80042,1.33025,0.00156001,0.00156001,0.00156001
27,1233.35,1.41694,1.2907,1.57635,0.96308,0.84647,0.95293,0.55678,1.45059,1.02088,1.37727,0.00152727,0.00152727,0.00152727
28,1278.7,1.40237,1.25329,1.57512,0.9575,0.92531,0.98309,0.63181,1.25106,0.85795,1.26136,0.00149374,0.00149374,0.00149374
29,1324.25,1.43212,1.27627,1.58978,0.97827,0.82573,0.94028,0.6272,1.2188,0.7731,1.29205,0.00145945,0.00145945,0.00145945
30,1369.6,1.39616,1.26041,1.58702,0.96709,0.87552,0.93071,0.5616,1.44625,1.29864,1.37282,0.00142447,0.00142447,0.00142447
31,1414.92,1.40691,1.24165,1.5772,0.9732,0.90409,0.97293,0.57015,1.40562,0.78286,1.3152,0.00138886,0.00138886,0.00138886
32,1460.27,1.37204,1.2331,1.55637,0.96098,0.9197,0.96137,0.64,1.23126,0.805,1.28481,0.00135266,0.00135266,0.00135266
33,1505.75,1.39807,1.25037,1.56158,0.94313,0.93361,0.97655,0.64575,1.18215,0.7137,1.23084,0.00131593,0.00131593,0.00131593
34,1551.34,1.37924,1.23115,1.5525,0.96412,0.89188,0.96104,0.58188,1.42192,0.85825,1.3581,0.00127873,0.00127873,0.00127873
35,1596.69,1.36281,1.22075,1.54632,0.94836,0.91447,0.96243,0.59812,1.33429,0.76877,1.30194,0.00124111,0.00124111,0.00124111
36,1642.02,1.36506,1.21206,1.54387,0.9601,0.89854,0.96424,0.6126,1.27207,0.7128,1.27193,0.00120314,0.00120314,0.00120314
37,1687.34,1.35366,1.19842,1.53666,0.94909,0.9282,0.96877,0.61672,1.33008,0.72143,1.31256,0.00116487,0.00116487,0.00116487
