epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,341.567,1.56173,1.96236,1.89531,0.76272,0.57573,0.72335,0.43106,1.19933,1.397,1.47762,0.00332832,0.00332832,0.00332832
2,676.445,1.42272,1.67806,1.80299,0.6723,0.5285,0.55477,0.2954,1.62027,1.62703,1.84582,0.00666003,0.00666003,0.00666003
3,1010.83,1.50011,1.78442,1.90186,0.57162,0.6117,0.5764,0.2631,1.6571,2.28786,1.98793,0.00998522,0.00998522,0.00998522
4,1344.58,1.51586,1.84008,1.93603,0.42286,0.44684,0.39234,0.17742,1.77782,2.30996,2.07303,0.00997803,0.00997803,0.00997803
5,1678.26,1.44493,1.75558,1.88041,0.64218,0.63998,0.63992,0.33924,1.44269,1.92355,1.80948,0.00996097,0.00996097,0.00996097
6,2010.71,1.40565,1.70237,1.85161,0.72798,0.73986,0.70011,0.38564,1.43188,1.69599,1.70161,0.00993906,0.00993906,0.00993906
7,2343.58,1.38059,1.6451,1.83098,0.68957,0.65966,0.72301,0.41891,1.38043,1.30147,1.73267,0.00991232,0.00991232,0.00991232
8,2676.71,1.34376,1.59593,1.79229,0.71664,0.71334,0.76535,0.48798,1.20346,1.19411,1.54564,0.00988079,0.00988079,0.00988079
9,3009.22,1.32345,1.56061,1.77441,0.71555,0.70155,0.74531,0.4922,1.2296,1.22271,1.65257,0.00984449,0.00984449,0.00984449
10,3341.6,1.31263,1.5395,1.7625,0.79246,0.7787,0.8144,0.53935,1.16458,1.08356,1.52946,0.00980345,0.00980345,0.00980345
11,3674.08,1.27779,1.49229,1.73521,0.75931,0.73301,0.79064,0.51598,1.13746,1.07206,1.50964,0.00975773,0.00975773,0.00975773
12,4006.35,1.26749,1.47633,1.72176,0.79971,0.78329,0.83002,0.55923,1.1409,0.91794,1.54086,0.00970736,0.00970736,0.00970736
13,4339.88,1.26351,1.44366,1.71118,0.83188,0.82588,0.86239,0.56693,1.13715,0.93226,1.45889,0.00965239,0.00965239,0.00965239
14,4673.23,1.24912,1.44225,1.70009,0.86948,0.78548,0.86695,0.57476,1.11895,0.89722,1.44904,0.00959289,0.00959289,0.00959289
15,5005.71,1.22988,1.40179,1.68444,0.83704,0.83587,0.86793,0.58739,1.11478,0.92118,1.46467,0.00952889,0.00952889,0.00952889
16,5338.12,1.2207,1.40212,1.68417,0.8068,0.80501,0.84604,0.57912,1.03295,0.91009,1.39149,0.00946048,0.00946048,0.00946048
17,5670.29,1.20653,1.37613,1.66251,0.79555,0.80948,0.84855,0.5809,1.03784,0.84452,1.39063,0.00938772,0.00938772,0.00938772
18,6002.31,1.19987,1.37628,1.65998,0.8268,0.80703,0.87178,0.62176,0.96474,0.74578,1.33025,0.00931067,0.00931067,0.00931067
19,6334.43,1.19403,1.35287,1.6532,0.83125,0.84963,0.88511,0.62731,0.97844,0.75163,1.34205,0.00922942,0.00922942,0.00922942
20,6668.35,1.18256,1.34246,1.63432,0.79954,0.81649,0.85222,0.61911,0.92009,0.79742,1.32171,0.00914405,0.00914405,0.00914405
21,7000.41,1.17472,1.32024,1.63438,0.86605,0.87537,0.90302,0.64238,0.97908,0.67589,1.38104,0.00905463,0.00905463,0.00905463
22,7332.73,1.15284,1.30961,1.61932,0.84946,0.85689,0.89069,0.63329,0.95902,0.6581,1.31916,0.00896127,0.00896127,0.00896127
23,7664.89,1.15822,1.30447,1.61787,0.80143,0.87165,0.8849,0.61918,0.99222,0.76058,1.3354,0.00886404,0.00886404,0.00886404
